Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Kaleci_Sayisi,Kaleci_Toplam_Deger_Euro,Kaleci_Ortalama_Deger_Euro,Defans_Sayisi,Defans_Toplam_Deger_Euro,Defans_Ortalama_Deger_Euro,Ortasaha_Sayisi,Ortasaha_Toplam_Deger_Euro,Ortasaha_Ortalama_Deger_Euro,Forvet_Sayisi,Forvet_Toplam_Deger_Euro,Forvet_Ortalama_Deger_Euro,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Ç. Rizespor,2019-2020,37,25.9,19,4,1650000,412500,16,9175000,573437.5,4,3550000,887500,13,8300000,638461.5384615385,613000,22680000
Y. Malatyaspor,2019-2020,37,27.2,16,5,525000,105000,13,5800000,446153.8461538461,9,9300000,1033333.3333333334,10,6700000,670000,603000,22330000
Kayserispor,2019-2020,58,25.5,20,7,1000000,142857.14285714287,24,7475000,311458.3333333333,13,7575000,582692.3076923077,14,5525000,394642.8571428571,372000,21580000
Alanyaspor,2019-2020,34,28.5,13,5,950000,190000,13,9250000,711538.4615384615,6,4550000,758333.3333333334,10,6550000,655000,626000,21300000
Konyaspor,2019-2020,38,27.2,18,4,700000,175000,23,10600000,460869.5652173913,4,4400000,1100000,7,4525000,646428.5714285715,532000,20230000
Gaziantep FK,2019-2020,33,27.7,15,4,1325000,331250,13,7200000,553846.1538461539,9,5850000,650000,7,5725000,817857.1428571428,609000,20100000
Antalyaspor,2019-2020,49,26.1,16,3,525000,175000,20,8850000,442500,11,1700000,154545.45454545456,15,8075000,538333.3333333334,391000,19150000
Göztepe,2019-2020,37,27.5,15,4,700000,175000,14,6750000,482142.8571428571,8,3575000,446875,11,6200000,563636.3636363636,466000,17230000
Denizlispor,2019-2020,34,27.8,14,5,975000,195000,16,7925000,495312.5,4,1800000,450000,9,5250000,583333.3333333334,469000,15950000
Gençlerbirliği,2019-2020,35,26.9,16,7,1750000,250000,16,6025000,376562.5,4,1550000,387500,8,4425000,553125,393000,13750000
Ankaragücü,2019-2020,46,26.8,18,5,675000,135000,21,4700000,223809.52380952385,6,775000,129166.66666666669,14,5700000,407142.8571428571,258000,11850000
Fenerbahçe,2020-2021,44,27,20,4,14450000,3612500,19,37625000,1980263.1578947369,10,27425000,2742500,11,35950000,3268181.8181818184,2620000,115450000
Galatasaray,2020-2021,36,27.2,20,4,4875000,1218750,15,45900000,3060000,5,22600000,4520000,12,34250000,2854166.6666666665,2990000,107630000
Beşiktaş,2020-2021,35,26.2,18,3,6150000,2050000,16,36200000,2262500,5,12250000,2450000,11,49900000,4536363.636363637,2990000,104500000
Trabzonspor,2020-2021,43,24.6,17,6,19800000,3300000,15,25950000,1730000,11,29050000,2640909.090909091,11,24325000,2211363.636363636,2310000,99130000
Başakşehir,2020-2021,44,26.9,17,7,3750000,535714.2857142857,20,21200000,1060000,6,9550000,1591666.6666666667,11,34725000,3156818.1818181816,1570000,69230000
Alanyaspor,2020-2021,32,27,12,4,1075000,268750,11,14475000,1315909.0909090908,9,20675000,2297222.222222222,8,13450000,1681250,1550000,49680000
Kasımpaşa,2020-2021,39,26.1,19,4,550000,137500,16,10250000,640625,6,16000000,2666666.6666666665,13,12075000,928846.153846154,997000,38880000
Karagümrük,2020-2021,44,27.1,23,5,875000,175000,20,15725000,786250,10,8375000,837500,9,13475000,1497222.2222222222,874000,38450000
Göztepe,2020-2021,42,26,17,5,3525000,705000,17,13275000,780882.3529411765,7,8625000,1232142.857142857,13,12100000,930769.2307692308,893000,37530000
Hatayspor,2020-2021,39,26.3,17,5,1550000,310000,15,10525000,701666.6666666666,8,7175000,896875,11,16900000,1536363.6363636365,927000,36150000
Sivasspor,2020-2021,33,29.1,15,5,2400000,480000,15,12925000,861666.6666666666,4,3475000,868750,9,11900000,1322222.2222222222,930000,30700000
