Takim,Sezon,Kadro_Sayisi,Ortalama_Yas,Yabanci_Oyuncu_Sayisi,Kaleci_Sayisi,Kaleci_Toplam_Deger_Euro,Kaleci_Ortalama_Deger_Euro,Defans_Sayisi,Defans_Toplam_Deger_Euro,Defans_Ortalama_Deger_Euro,Ortasaha_Sayisi,Ortasaha_Toplam_Deger_Euro,Ortasaha_Ortalama_Deger_Euro,Forvet_Sayisi,Forvet_Toplam_Deger_Euro,Forvet_Ortalama_Deger_Euro,Ortalama_Piyasa_Degeri_Euro,Toplam_Piyasa_Degeri_Euro
Galatasaray SK,2022-2023,42,26.4,21,3,2675000.0,891666.6666666666,20,79775000.0,3988750.0,7,24250000.0,3464285.714285714,12,95950000.0,7995833.333333333,4830000.0,202650000.0
Fenerbahçe SK,2022-2023,43,26.1,21,4,13050000.0,3262500.0,20,75100000.0,3755000.0,9,49850000.0,5538888.888888889,10,55225000.0,5522500.0,4490000.0,193230000.0
Trabzonspor,2022-2023,47,25.5,18,4,12325000.0,3081250.0,20,48200000.0,2410000.0,9,34500000.0,3833333.3333333335,14,40275000.0,2876785.714285714,2880000.0,135300000.0
Beşiktaş JK,2022-2023,44,26.8,20,4,6500000.0,1625000.0,19,43825000.0,2306578.947368421,8,30950000.0,3868750.0,13,46425000.0,3571153.846153846,2900000.0,127700000.0
İstanbul Başakşehir FK,2022-2023,43,27.1,23,4,1650000.0,412500.0,20,29800000.0,1490000.0,7,8075000.0,1153571.4285714286,12,35575000.0,2964583.3333333335,1750000.0,75100000.0
Adana Demirspor,2022-2023,44,27.8,23,3,925000.0,308333.3333333333,17,26600000.0,1564705.8823529412,7,5875000.0,839285.7142857143,17,24250000.0,1426470.5882352942,1310000.0,57650000.0
Konyaspor,2022-2023,38,26.9,20,4,1600000.0,400000.0,14,18150000.0,1296428.5714285714,7,15150000.0,2164285.714285714,13,13675000.0,1051923.076923077,1280000.0,48580000.0
Alanyaspor,2022-2023,42,25.8,20,6,1725000.0,287500.0,17,16450000.0,967647.0588235294,7,9650000.0,1378571.4285714286,12,15450000.0,1287500.0,1030000.0,43280000.0
Antalyaspor,2022-2023,43,26.4,18,5,1925000.0,385000.0,16,16175000.0,1010937.5,11,5775000.0,525000.0,11,17725000.0,1611363.6363636365,967000.0,41600000.0
Ankaragücü,2022-2023,51,26.5,21,5,2275000.0,455000.0,23,18450000.0,802173.9130434783,8,6675000.0,834375.0,15,13075000.0,871666.6666666666,794000.0,40480000.0
Fatih Karagümrük,2022-2023,40,26.9,21,4,950000.0,237500.0,15,17100000.0,1140000.0,11,6725000.0,611363.6363636364,10,15550000.0,1555000.0,1010000.0,40330000.0
Kasımpaşa,2022-2023,47,26.4,19,7,2650000.0,378571.4285714286,21,13600000.0,647619.0476190476,8,10725000.0,1340625.0,11,12250000.0,1113636.3636363635,835000.0,39230000.0
Kayserispor,2022-2023,36,26.1,15,4,1875000.0,468750.0,15,12550000.0,836666.6666666666,6,7500000.0,1250000.0,11,9125000.0,829545.4545454546,863000.0,31050000.0
Sivasspor,2022-2023,38,27.9,17,4,550000.0,137500.0,16,12275000.0,767187.5,7,7875000.0,1125000.0,11,8225000.0,747727.2727272727,761000.0,28930000.0
Gaziantep FK,2022-2023,30,27.1,16,3,2175000.0,725000.0,12,7800000.0,650000.0,7,6900000.0,985714.2857142857,8,7225000.0,903125.0,803000.0,24100000.0
Hatayspor,2022-2023,34,27.5,15,3,575000.0,191666.66666666666,14,6525000.0,466071.4285714286,6,2700000.0,450000.0,11,13225000.0,1202272.7272727273,677000.0,23030000.0
İstanbulspor,2022-2023,45,25.8,20,5,750000.0,150000.0,18,7825000.0,434722.22222222225,8,1925000.0,240625.0,14,7925000.0,566071.4285714285,409000.0,18430000.0
Giresunspor,2022-2023,36,25.2,12,5,575000.0,115000.0,19,9475000.0,498684.2105263158,5,2225000.0,445000.0,7,6100000.0,871428.5714285715,510000.0,18380000.0
Ümraniyespor,2022-2023,42,26.5,15,5,1875000.0,375000.0,13,3175000.0,244230.76923076922,12,1950000.0,162500.0,12,5050000.0,420833.3333333333,287000.0,12050000.0
Galatasaray SK,2023-2024,46,26.1,23,5,2725000.0,545000.0,16,108700000.0,6793750.0,8,23100000.0,2887500.0,17,121125000.0,7125000.0,5560000.0,255650000.0
Fenerbahçe SK,2023-2024,55,25.0,19,6,22550000.0,3758333.3333333335,23,100400000.0,4365217.391304348,10,47200000.0,4720000.0,16,48150000.0,3009375.0,3970000.0,218300000.0
Beşiktaş JK,2023-2024,49,26.1,21,5,3350000.0,670000.0,23,71550000.0,3110869.565217391,7,37275000.0,5325000.0,14,34700000.0,2478571.4285714286,3000000.0,146880000.0
Trabzonspor,2023-2024,40,25.7,18,4,9700000.0,2425000.0,16,35175000.0,2198437.5,9,25800000.0,2866666.6666666665,11,47700000.0,4336363.636363637,2960000.0,118380000.0
İstanbul Başakşehir FK,2023-2024,43,27.0,21,4,2150000.0,537500.0,19,19325000.0,1017105.2631578947,9,14500000.0,1611111.111111111,11,18175000.0,1652272.7272727273,1260000.0,54150000.0
Adana Demirspor,2023-2024,52,26.2,29,7,1475000.0,210714.2857142857,18,21550000.0,1197222.2222222222,9,9500000.0,1055555.5555555555,18,20775000.0,1154166.6666666667,1030000.0,53300000.0
Samsunspor,2023-2024,41,26.4,18,5,1250000.0,250000.0,16,9550000.0,596875.0,8,8925000.0,1115625.0,12,15150000.0,1262500.0,851000.0,34880000.0
Çaykur Rizespor,2023-2024,42,24.8,19,4,2350000.0,587500.0,16,13350000.0,834375.0,11,7675000.0,697727.2727272727,11,10775000.0,979545.4545454546,813000.0,34150000.0
Kayserispor,2023-2024,39,25.8,17,4,3175000.0,793750.0,19,12675000.0,667105.2631578947,6,6775000.0,1129166.6666666667,10,11425000.0,1142500.0,873000.0,34050000.0
Ankaragücü,2023-2024,43,26.3,21,5,1775000.0,355000.0,18,10500000.0,583333.3333333334,7,8575000.0,1225000.0,13,12525000.0,963461.5384615385,776000.0,33380000.000000004
Alanyaspor,2023-2024,37,26.4,16,3,175000.0,58333.333333333336,12,9675000.0,806250.0,13,11000000.0,846153.8461538461,9,11675000.0,1297222.2222222222,879000.0,32530000.0
Fatih Karagümrük,2023-2024,45,27.1,24,5,950000.0,190000.0,15,12400000.0,826666.6666666666,16,9550000.0,596875.0,9,9425000.0,1047222.2222222222,718000.0,32330000.0
Konyaspor,2023-2024,42,26.8,21,4,3300000.0,825000.0,17,11850000.0,697058.8235294118,6,6450000.0,1075000.0,15,10675000.0,711666.6666666666,768000.0,32280000.0
Antalyaspor,2023-2024,39,26.3,16,4,1350000.0,337500.0,17,9750000.0,573529.4117647059,10,7025000.0,702500.0,8,13350000.0,1668750.0,807000.0,31480000.0
Sivasspor,2023-2024,47,26.8,17,7,1000000.0,142857.14285714287,14,10775000.0,769642.8571428572,14,5625000.0,401785.71428571426,12,12975000.0,1081250.0,646000.0,30380000.0
Kasımpaşa,2023-2024,43,24.4,17,6,850000.0,141666.66666666666,15,14800000.0,986666.6666666666,7,6275000.0,896428.5714285715,15,7050000.0,470000.0,674000.0,28980000.0
Hatayspor,2023-2024,39,25.5,16,4,875000.0,218750.0,14,6200000.0,442857.14285714284,10,6400000.0,640000.0,11,15425000.0,1402272.7272727273,741000.0,28900000.0
Gaziantep FK,2023-2024,38,27.4,22,4,750000.0,187500.0,16,7300000.0,456250.0,7,6575000.0,939285.7142857143,11,9400000.0,854545.4545454546,632000.0,24030000.0
Pendikspor,2023-2024,42,28.5,17,4,1100000.0,275000.0,13,3875000.0,298076.92307692306,13,8025000.0,617307.6923076923,12,10375000.0,864583.3333333334,557000.0,23380000.0
İstanbulspor,2023-2024,44,24.7,16,5,450000.0,90000.0,16,3950000.0,246875.0,8,2525000.0,315625.0,15,6000000.0,400000.0,294000.0,12930000.0
Galatasaray SK,2024-2025,49,25.7,22,5,1875000.0,375000.0,22,115450000.0,5247727.2727272725,6,28850000.0,4808333.333333333,16,171100000.0,10693750.0,6480000.0,317280000.0
Fenerbahçe SK,2024-2025,44,27.2,19,5,12150000.0,2430000.0,21,145525000.0,6929761.904761905,7,42300000.0,6042857.142857143,11,69850000.0,6350000.0,6130000.0,269830000.0
Beşiktaş JK,2024-2025,40,26.0,21,4,3025000.0,756250.0,18,45800000.0,2544444.4444444445,8,41600000.0,5200000.0,10,46950000.0,4695000.0,3430000.0,137380000.0
Trabzonspor,2024-2025,49,24.9,18,7,10650000.0,1521428.5714285714,20,42975000.0,2148750.0,8,15250000.0,1906250.0,14,48800000.0,3485714.285714286,2400000.0,117680000.0
İstanbul Başakşehir FK,2024-2025,39,26.8,19,4,2750000.0,687500.0,16,28825000.0,1801562.5,11,14250000.0,1295454.5454545454,8,19350000.0,2418750.0,1670000.0,65180000.00000001
Göztepe,2024-2025,36,24.9,16,5,2400000.0,480000.0,12,17425000.0,1452083.3333333333,12,12275000.0,1022916.6666666666,7,21500000.0,3071428.5714285714,1490000.0,53600000.0
Çaykur Rizespor,2024-2025,36,25.8,16,5,2925000.0,585000.0,14,16900000.0,1207142.857142857,6,11900000.0,1983333.3333333333,11,9000000.0,818181.8181818182,1130000.0,40730000.0
Eyüpspor,2024-2025,44,27.4,12,4,6150000.0,1537500.0,18,8550000.0,475000.0,10,6825000.0,682500.0,12,13950000.0,1162500.0,806000.0,35480000.0
Kasımpaşa,2024-2025,49,23.8,17,5,650000.0,130000.0,22,19850000.0,902272.7272727273,7,5900000.0,842857.1428571428,15,8900000.0,593333.3333333334,720000.0,35300000.0
Samsunspor,2024-2025,37,25.2,15,4,2325000.0,581250.0,16,9525000.0,595312.5,8,8325000.0,1040625.0,9,13300000.0,1477777.7777777778,905000.0,33479999.999999996
Alanyaspor,2024-2025,44,24.5,16,5,225000.0,45000.0,13,9700000.0,746153.8461538461,15,8825000.0,588333.3333333334,11,7775000.0,706818.1818181818,603000.0,26530000.0
Gaziantep FK,2024-2025,43,25.7,16,5,875000.0,175000.0,18,10675000.0,593055.5555555555,9,5810000.0,645555.5555555555,11,6700000.0,609090.9090909091,560000.0,24060000.0
Konyaspor,2024-2025,44,26.0,17,6,1500000.0,250000.0,19,9800000.0,515789.4736842105,7,4175000.0,596428.5714285715,12,8100000.0,675000.0,536000.0,23580000.0
Kayserispor,2024-2025,41,25.3,15,4,2300000.0,575000.0,22,10725000.0,487500.0,5,3175000.0,635000.0,10,6175000.0,617500.0,546000.0,22380000.0
Antalyaspor,2024-2025,40,25.4,15,4,875000.0,218750.0,18,10800000.0,600000.0,8,4400000.0,550000.0,10,6000000.0,600000.0,552000.0,22080000.0
Bodrum FK,2024-2025,43,26.4,15,6,2100000.0,350000.0,18,6550000.0,363888.8888888889,7,3825000.0,546428.5714285715,12,8025000.0,668750.0,477000.0,20500000.0
Adana Demirspor,2024-2025,44,22.4,11,5,1200000.0,240000.0,14,7475000.0,533928.5714285715,11,4775000.0,434090.9090909091,14,6500000.0,464285.71428571426,453000.0,19950000.0
Hatayspor,2024-2025,34,25.2,14,4,1150000.0,287500.0,14,6100000.0,435714.28571428574,8,2200000.0,275000.0,8,8250000.0,1031250.0,521000.0,17700000.0
Sivasspor,2024-2025,45,25.8,16,5,350000.0,70000.0,17,4875000.0,286764.70588235295,10,4825000.0,482500.0,13,7150000.0,550000.0,382000.0,17200000.0
